Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_Run-04_8Dec12_Lion_12-10-04	0.001151	0.003454	19.7885	43.8133	54.31	58.78	36.01	53.26	58.61	5.713	4.643	406	3901	1.589	1.167	6	6	825.7903	0.004695	0.35446	0	10	39.71	307195	20.027	1.61E+06	-0.076686	0.262366	-38.458	-38.344	6.149	120.25	839	0.1293	0.1738	0.1837	0.2278	7.69	-7.693	1702	1425	1344	0.020833
QC_Shew_12_02_Run-04a_25Sep12_Eagle_11-10-18	NULL	NULL	0	NULL	48.05	44.92	29.35	100.94	45.59	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.72	-6.721	0	0	0	0
QC_Shew_12_02_Run-05_11Sep12_Eagle_12-06-09	0.000845	0.002534	13.6859	43.2562	38.75	53.99	30.49	27.63	62.21	5.876	8.563	234	2333	1.407	1.105	0	0	869.9849	0.027714	0.339492	0	0.443	37.71	70316	10.71	250614	-0.003941	0.228716	-2.377	-2.258	45.017	111.35	855	0.0028	0.1025	0.2248	0.2156	7.13	-7.127	1160	1021	949	0.020021
QC_Shew_12_02_Run-05_12Dec12_Lion_12-10-03	0.000696	0.004875	22.3258	31.6226	66.29	76.61	47.67	46.94	80.6	3.959	4.239	452	4395	1.635	1.184	7	7	802.4073	0.010427	0.350711	0	0.065	48.25	572500	16.388	2010950	-0.059585	0.258773	-31.427	-31.081	5.275	115.6	763	0.0749	0.1346	0.1261	0.1844	7.47	-7.469	1395	1098	1024	0.013672
QC_Shew_12_02_Run-05_23Aug12_Eagle_12-06-09	0.011765	0.035294	18.2291	2.3589	91.57	78.32	82.01	97.43	87.64	17	0.333	271	2712	1.796	1.428	0	1	649.8386	0	0.103896	0	10	29.895	55.0895	4.931	2.18E+04	0.030459	0.178133	24.166	25.662	100	72.59	452	0.0007	0.0074	0.0242	0.0248	6.78	-6.777	84	30	29	0.034483
QC_Shew_12_02_Run-05_24Sep12_Eagle_12-06-09	0	0	8.3437	2.5169	68.71	67.05	44.14	64.08	68.32	38	0	121	1208	1.307	1.012	0	0	674.8772	0	0.212121	0	9.043	25.2	2521	4.52	9273	-0.008754	0.211035	-5.302	3.884	100	46.415	398	0.0086	0.0103	0.012	0.0034	6.52	-6.518	40	39	39	0
QC_Shew_12_02_Run-05_25Sep12_Eagle_12-06-09	0	0	0	NULL	62.7	54.28	59.14	77.56	56.8	0	0	0	1	1.112	0	0	0	1000.549	0	0	0	10	0	0	0	2647	0.361814	0.361814	180.99	180.99	100	0	249	0	0.0008	0	0	6.65	-6.654	1	1	1	0
QC_Shew_12_02_Run-05_28Aug12_Eagle_12-06-09	0	0	13.0726	2.3714	71.89	72.88	41.32	99.25	69.88	4.444	9	196	1959	1.186	1.004	0	0	876.1037	0	1.44	0	10	15.185	1533.3	5.992	6801	-0.004331	0.273126	-2.44	2.736	100	26.52	356	0.0043	0.0061	0.0134	0.0134	6.81	-6.805	61	54	50	0
QC_Shew_12_02_Run-05_5Dec12_Lion_12-10-03	0.031662	0	14.7638	12.7338	54.77	73.39	23.29	56.97	92.69	6	1.643	1252	1725	1.742	1.1	50	44	853.1	0	0.446565	0	10	0	0	103.597	64301	0.048994	0.251102	23.736	25.28	100	49.975	653	0.0132	0.0488	0.1127	0.1765	7.08	-7.077	368	197	187	0.016043
QC_Shew_12_02_Run-05_5Sep12_Eagle_12-06-09	0.001534	0.003067	12.8487	25.2944	85.94	97.93	73.16	29.06	100.82	7.778	9	206	2061	1.428	1.114	1	1	778.7266	0.004357	0.416122	0	10	27.99	41890	13.367	172504	-0.062819	0.234032	-35.911	-35.624	60.392	125.3	855	0.0176	0.0917	0.1379	0.1469	7.06	-7.063	640	579	554	0.016245
QC_Shew_12_02_Run-05_6Sep12_Eagle_12-06-09	NULL	NULL	0	NULL	22.75	29.69	6.15	20.51	13.79	0	0	0	0	0	0	10	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.54	-5.545	0	0	0	0
QC_Shew_12_02_Run-05_7Dec12_Lion_12-10-03	0.001286	0.002572	19.7003	39.441	50.02	57.85	37.45	38.85	58.47	4.806	5.289	388	3886	1.607	1.185	9	8	801.1342	0.005199	0.342288	0	0.07	54.395	415405	19.136	1840400	-0.043168	0.262555	-22.015	-21.833	5.4	129.95	823	0.0924	0.1379	0.1548	0.2121	7.49	-7.49	1519	1269	1195	0.020921
QC_Shew_12_02_Run-06_11Sep12_Eagle_12-06-13	0	0.002694	16.4565	45.0886	56.34	66.26	59.38	26.27	69.96	5.484	9.1	283	2831	1.496	1.131	0	0	823.7637	0.029385	0.334252	0	10	49.68	65593	11.672	249567	-0.015091	0.229162	-9.014	-8.86	44.868	125.5	816	0.0527	0.1994	0.2067	0.2203	7.35	-7.35	1457	1281	1189	0.018503
