Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_Run-07_16Aug12_Roc_12-04-08	0.000534	0.018143	23.1453	40.5266	20.92	21.01	16.46	15.43	21.46	6.358	4.757	841	2524	1.661	1.155	59	49	838.0808	0.020389	0.569972	0.139018	1.094	243.9	1600100	134.912	1.43E+07	0.002081	0.008108	0.97	0.98	3.32	114.4	801	0.254	0.313	0.3185	0.4147	9.61	-9.606	1832	1500	1338	0.020179
QC_Shew_12_02_Run-07_19Jul12_Roc_12-04-08	0.001751	0.008173	22.887	37.4448	18.7	19.86	15.28	14.56	20.92	5.73	4.684	831	2493	1.695	1.145	0	0	806.4164	0.05191	0.483839	0.129285	2.439	275.5	689840	1.09E+02	6651700	0.001774	0.007554	0.893	0.9	5.739	109.9	738	0.2112	0.2827	0.286	0.3465	8.97	-8.969	1681	1393	1238	0.021002
QC_Shew_12_02_Run-07_23Aug12_Roc_12-04-08	0.013393	0.022321	8.641	13.0772	19.47	19.65	12.12	29.75	19.57	4.882	4.25	303	910	1.668	1.143	0	0	869.5167	0	1.573333	0.4	84.471	100.75	6965.3	42.934	277087	0.006646	0.010862	2.897	2.897	28.121	34.405	790	0.0009	0.0258	0.0341	0.1455	6.6	-6.601	216	120	111	0.018018
QC_Shew_12_02_Run-07_25Aug12_Roc_12-04-08	0.000969	0.003876	21.4188	24.1377	19.91	21.44	11.61	14.37	21.88	7.421	5.588	778	2335	1.594	1.139	1	2	831.7699	0.065693	0.354745	0.084672	1.826	166.35	7.01E+05	48.503	7.79E+06	0.03137	0.033831	17.184	17.185	3.005	81.275	1435	0.0372	0.1631	0.2368	0.2732	7.84	-7.842	1018	882	817	0.014688
QC_Shew_12_02_Run-07_27Jul12_Roc_12-04-08	0	0.014781	23.6075	32.9556	19.56	20.06	15.22	18.69	20.24	6.255	6.542	542	1615	1.626	1.134	0	0	762.0353	0.012361	0.698393	0.189122	2.271	340	851030	80.064	1.24E+07	0.005283	0.008581	2.771	2.771	4.619	222.8	997	0.3247	0.3957	0.4081	0.4768	10.85	-10.855	1528	1317	1163	0.018917
QC_Shew_12_02_Run-07_28Aug12_Roc_12-04-08	0	0.002865	21.497	16.2813	19.92	21.01	15.35	14.95	21.46	9.123	8.143	781	2344	1.736	1.159	0	0	675.3649	0.006977	0.460465	0.134884	1.705	234.1	1035700	92.081	1.28E+07	-0.001277	0.006861	-0.726	-0.723	2.471	98.91	1235	0.0535	0.087	0.1166	0.1925	7.2	-7.196	691	617	584	0.011986
QC_Shew_12_02_Run-07_30Aug12_Roc_12-04-08	0	0	18.0323	12.6994	20.9	21.51	31.77	6.52	22.01	9.378	4.625	655	1967	1.909	1.203	2	1	671.1713	0.003448	0.417241	0.134483	1.329	303.7	1.57E+06	45.82	2.13E+07	0.000574	0.006658	0.343	0.372	1.953	59.53	1331	0.0173	0.052	0.1114	0.1619	6.88	-6.876	453	401	392	0.005102
QC_Shew_12_02_Run-07_30Jul12_Roc_12-04-08	0.000522	0.010972	24.5599	39.0067	18.72	19.88	15.33	14.32	20.99	6.433	4.5	892	2677	1.691	1.169	0	0	797.4277	0.020076	0.630019	0.161568	1.842	283.1	927170	164.427	8.85E+06	0.002084	0.008022	1.064	1.065	4.936	133.6	809	0.217	0.2966	0.3415	0.4065	9.49	-9.492	1879	1544	1381	0.018827
QC_Shew_12_02_Run-07_4Sep12_Roc_12-04-08	0.000475	0.012357	23.2889	45.2147	20.82	21.32	15.26	17.55	21.34	6.839	4.196	852	2555	1.682	1.166	0	0	824.4354	0.023973	0.615582	0.145548	2.1725	580.1	2005000	119.67	1.38E+07	0.006129	0.009112	3.082	3.083	5.86	124.7	867	0.2805	0.3307	0.3585	0.3895	10.13	-10.134	2050	1751	1549	0.027114
QC_Shew_12_02_Run-07_7Sep12_Andromeda_12-08-11	0	0	0.0281	71.1744	40.19	45.66	5.71	38.29	42.91	0	0	1	4	1.496	0.594	6	6	747.6566	0	0	0	17.6285	21.15	166360	1	153816	0.016764	0.016764	10.442	10.442	20.757	33.23	838	0.0022	0.0022	0	0	5.57	-5.566	2	2	2	0
QC_Shew_12_02_Run-08_19Jul12_Roc_12-04-09	0.001239	0.009294	22.9373	35.2265	19.81	20.97	15.03	15.6	20.99	7.112	4.931	833	2499	1.747	1.181	0	0	799.4146	0.057851	0.465909	0.133264	2.48	271.4	701920	94.805	7.09E+06	0.001414	0.007325	0.763	0.765	5.469	109.6	739	0.1858	0.2822	0.2591	0.3395	8.94	-8.939	1588	1337	1196	0.016722
