Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_2p5_13_19Jul12_Sam_12-05-13	0.000247	0.000741	37.0029	54.6984	10.84	12.33	7.79	13.28	12.5	4.778	6.045	1143	11430	1.618	1.106	15	20	991.4794	0.106424	0.382353	0.070433	0.379	561.1	1041900	180.47	3619600	-0.001753	0.01254	-0.822	-0.821	2.994	109.8	483	0.0566	0.1257	0.1711	0.2685	6.75	-6.748	3883	3476	3045	0.048276
QC_Shew_12_02_2p5_15_19Jul12_Sam_12-05-13	0	0.002651	37.1947	55.7875	10.76	12.16	7.79	14.26	12.28	5.05	5.591	1149	11475	1.633	1.126	13	16	1000.985	0.121305	0.390403	0.072169	0.39	574.2	1027500	192.53	3329400	-0.0033	0.012104	-1.569	-1.569	3.061	111	477	0.0602	0.1374	0.177	0.2642	6.78	-6.779	3981	3572	3124	0.047375
QC_Shew_12_02_2p5_4_19Jul12_Sam_12-05-13	0.000586	0.001171	35.6305	47.9645	10.83	12.27	7.1	10.98	12.21	5.743	4.735	1092	10918	1.541	1.102	1	2	948.5007	0.106342	0.430138	0.082022	0.379	510.3	1060000	138.227	3826500	0.001649	0.013979	0.792	0.796	2.99	106	473	0.0397	0.1085	0.1497	0.2361	6.67	-6.671	3296	3009	2647	0.040045
QC_Shew_12_02_2p5_5_19Jul12_Sam_12-05-13	0.001057	0.000792	35.4997	53.3244	10.86	12.19	7.91	10.79	12.36	5.151	4.926	1092	10924	1.538	1.099	4	6	968.0273	0.119776	0.430849	0.070228	0.365	546.5	1176800	165.295	4101000	0.000409	0.012532	0.198	0.198	2.912	107.6	472	0.0516	0.1265	0.1603	0.2517	6.72	-6.719	3649	3271	2858	0.042337
QC_Shew_12_02_2p5_7_19Jul12_Sam_12-05-13	0.000499	0.001248	37.5508	53.3411	10.94	12.22	8.1	12.14	12.42	5.097	4.94	1159	11579	1.574	1.103	3	2	967.1627	0.106212	0.423647	0.068938	0.374	554.85	1141100	216.287	3972600	0.000497	0.01262	0.238	0.24	2.945	115.7	480	0.0606	0.1285	0.1627	0.265	6.76	-6.757	3845	3447	3008	0.04621
QC_Shew_12_02_2p5_8_27Jul12_Sam_12-05-13	0.000263	0.006703	35.7612	106.4002	11.51	12.7	8.8	16.07	12.83	5.24	6.116	1090	10896	1.609	1.125	0	0	893.9395	0.08038	0.329355	0.008765	0.843	585.3	1794600	264.359	5734100	-0.001716	0.009023	-0.891	-0.891	3.195	62.69	486	0.1528	0.2517	0.3138	0.3993	9.09	-9.093	7187	6275	5417	0.068303
QC_Shew_12_02_2p5_9_27Jul12_Sam_12-05-13	0.000308	0.008315	20.0023	81.2407	10.76	10.88	8.01	20.96	10.97	7.606	6.149	618	6183	1.6	1.107	0	0	806.4132	0.120125	0.145866	0.00039	0.7165	694.5	1551200	527.358	5.59E+06	-0.00387	0.009034	-2.442	-2.441	3.657	66.35	479	0.1184	0.1877	0.2406	0.3166	8.5	-8.5	3078	2690	2423	0.066034
QC_Shew_12_02_2p5_b2Aug12_Polaroid_11-07-67_120805054700	0.001808	0.016671	97.1293	91.0333	44.04	43.9	34.81	56.85	42.79	2.538	2.572	1883	15066	1.912	1.237	0	0	784.0701	0	0.720512	0.047581	2.468	880.8	245630	178.371	1012900	0.009094	0.0128	4.781	4.781	87.672	39.7	232	0.4365	0.4698	0.5237	0.6307	12.32	-12.319	16743	9671	8160	0.080392
QC_Shew_12_02_3_14Sep12_Cougar_12-06-10	0.003347	0.008554	33.1128	121.7958	16.36	16.87	12.41	14.02	16.69	3.903	4.039	1002	10019	1.665	1.146	0	0	878.4079	0.09218	0.646682	0.147156	0.502	631.6	2323450	332.67	6346300	0.005863	0.012938	2.929	2.93	2.506	114.7	735	0.1896	0.2739	0.3212	0.4203	9.14	-9.142	7772	6260	5161	0.049603
QC_Shew_12_02_3_19Aug12_Cougar_12-06-10	0.002529	0.009975	33.918	104.9295	15.14	16.91	11.66	11.95	16.05	4.48	4.484	1272	7634	1.729	1.162	0	0	857.4115	0.051209	0.613484	0.144107	0.675	946.35	2225400	954.816	7536500	0.000249	0.009671	0.12	0.12	1.571	98.65	595	0.1746	0.2938	0.4216	0.4965	9.96	-9.965	6855	5735	4736	0.047297
QC_Shew_12_02_3_20Sep12_Cougar_12-06-10	0.00257	0.013202	34.2031	125.1056	15.87	16.52	10.07	14.32	16.04	3.515	4.014	1042	10419	1.593	1.13	0	0	911.9359	0.125722	0.550994	0.132777	0.436	600.5	2266200	374.537	6113400	0.003949	0.011405	1.958	1.958	2.508	124.3	725	0.2057	0.2708	0.3384	0.4317	9.46	-9.459	8246	6638	5272	0.049317
QC_Shew_12_02_3_24Jul12_Cougar_12-05-07	0.00105	0.010201	33.5973	99.2044	16.96	17.5	11.96	11.72	17.51	3.642	4.111	1260	7563	1.693	1.173	0	0	873.7903	0.085624	0.646621	0.155212	0.486	675.25	1892550	636.418	6644600	0.011925	0.015344	5.798	5.798	1.836	118	740	0.2154	0.2984	0.3802	0.4719	9.8	-9.8	6444	5414	4303	0.03974
QC_Shew_12_02_3_26Oct12_Lynx_12-06-01	0	0.01173	40.9629	61.397	25.44	27.19	12.9	15.7	27	2.753	5.031	584	5843	1.446	1.092	1	0	838.028	0.205703	0.399525	0.089613	0.411	347.5	1708700	50.059	1.15E+07	-0.009916	0.011599	-5.48	-5.48	1.498	218.15	1007	0.3628	0.3501	0.3527	0.4053	10.19	-10.189	4809	4126	3113	0.059107
